cmd_outer,cmd_inner,pitch_deg,yaw_deg
1370.0,1350.0,-6.707186886302661,-7.097315350333548
1370.0,1419.0,-6.608690692630946,-4.691078702397607
1370.0,1488.0,-6.494827774246579,-1.9819874278530634
1370.0,1557.0,-6.349147739293822,0.9141207113385637
1370.0,1626.0,-6.2507675921189785,3.53515643153494
1370.0,1695.0,-6.1030396103117,6.00420040637599
1370.0,1764.0,-6.026579879479811,8.010493581646307
1370.0,1833.0,-5.958131689944404,9.729940908823892
1370.0,1902.0,-5.953808558600136,10.959266873952577
1370.0,1971.0,-5.933609938794832,11.877815419563108
1370.0,2040.0,-5.900292612167773,12.613216727718648
1402.0,1350.0,-5.759919786210244,-7.008872422361749
1402.0,1419.0,-5.58735517877277,-4.568889034536513
1402.0,1488.0,-5.566482426470887,-1.8648493121572547
1402.0,1557.0,-5.335713198798187,0.9692057058117786
1402.0,1626.0,-5.267809394801565,3.6499782032588066
1402.0,1695.0,-5.13127207527092,6.071141632320386
1402.0,1764.0,-4.952754925219679,8.132755739355993
1402.0,1833.0,-4.9185537228205565,9.857883917090986
1402.0,1902.0,-4.880511956115767,11.09582252951746
1402.0,1971.0,-4.807909766034535,12.056413249420787
1402.0,2040.0,-4.828673455645863,12.751402620567449
1434.0,1350.0,-4.438454621265852,-6.96972370929695
1434.0,1419.0,-4.335404150573243,-4.440307742033363
1434.0,1488.0,-4.259408330348068,-1.642040484695955
1434.0,1557.0,-4.062731831521574,1.0430232786356903
1434.0,1626.0,-3.954897014927532,3.823367200062273
1434.0,1695.0,-3.8435971639992776,6.266424413098412
1434.0,1764.0,-3.7355340944695925,8.331087374850274
1434.0,1833.0,-3.592384061053534,9.937818979951984
1434.0,1902.0,-3.577851809926224,11.226405782463893
1434.0,1971.0,-3.5331643954078515,12.152745807069145
1434.0,2040.0,-3.5266706504970955,12.888136483574586
1466.0,1350.0,-3.0401448563396816,-6.727909166431281
1466.0,1419.0,-2.9973386206840242,-4.3390156743433215
1466.0,1488.0,-2.772905385197612,-1.6597755567265422
1466.0,1557.0,-2.666878049978037,1.2333446235132826
1466.0,1626.0,-2.4531883563179324,3.9782227052117545
1466.0,1695.0,-2.3861402093584854,6.378407656913505
1466.0,1764.0,-2.272616436718818,8.522511067835035
1466.0,1833.0,-2.190935797023345,10.112386908287258
1466.0,1902.0,-2.09125723191673,11.401735767374646
1466.0,1971.0,-2.0621669515733343,12.318747052043944
1466.0,2040.0,-2.017530598828067,13.042371560270112
1498.0,1350.0,-1.4642451234525142,-6.594642269388258
1498.0,1419.0,-1.3705674977288238,-4.125229595704305
1498.0,1488.0,-1.2269764187157686,-1.3801712298327657
1498.0,1557.0,-1.0522126344698626,1.4210357633974953
1498.0,1626.0,-0.9481993811713099,4.127522572793598
1498.0,1695.0,-0.8241772121286193,6.477036771862369
1498.0,1764.0,-0.650342324363225,8.592811648246307
1498.0,1833.0,-0.5363411222153602,10.383122665096296
1498.0,1902.0,-0.5027331603770001,11.551609321343948
1498.0,1971.0,-0.4064427069393948,12.553927918126421
1498.0,2040.0,-0.3817998401954203,13.223428661388098
1530.0,1350.0,0.14882683183442294,-6.435188477168735
1530.0,1419.0,0.2306728915889905,-3.9899650826165867
1530.0,1488.0,0.44071179511773867,-1.2988418912806359
1530.0,1557.0,0.6225048187427062,1.5294168686030762
1530.0,1626.0,0.8174314761777345,4.287824486522688
1530.0,1695.0,0.931941531568415,6.701650301406164
1530.0,1764.0,1.0504993926034598,8.71606409294335
1530.0,1833.0,1.1119918472946462,10.47527142084655
1530.0,1902.0,1.1507438974992306,11.778057459346744
1530.0,1971.0,1.2247282719081778,12.732252700687622
1530.0,2040.0,1.303493491046018,13.430710334882447
1562.0,1350.0,1.7269424862905203,-6.350475892938863
1562.0,1419.0,1.932774726219668,-3.7637781109549318
1562.0,1488.0,2.058306730947128,-1.1040709310331662
1562.0,1557.0,2.238563645674592,1.6864144379163881
1562.0,1626.0,2.4661344359537747,4.418290254908082
1562.0,1695.0,2.579681122204124,6.851835865218226
1562.0,1764.0,2.691789369755868,8.901773574980579
1562.0,1833.0,2.875735398056708,10.610403401813551
1562.0,1902.0,2.9478283877055707,11.899687491753397
1562.0,1971.0,2.9439072602945675,12.843244536065008
1562.0,2040.0,2.9947875844913834,13.553737110254346
1594.0,1350.0,3.1869910245994957,-6.141941401680933
1594.0,1419.0,3.317026852426662,-3.6979401353317067
1594.0,1488.0,3.626483976016662,-0.9678077840102636
1594.0,1557.0,3.7125303346775964,1.8873253108909873
1594.0,1626.0,3.998188804433639,4.52665067359997
1594.0,1695.0,4.1020704833596895,6.99984534304465
1594.0,1764.0,4.18267512081345,9.121090527436007
1594.0,1833.0,4.366909504083538,10.756025444022717
1594.0,1902.0,4.42620488783894,12.052242970382206
1594.0,1971.0,4.500733152712092,12.984221440981429
1594.0,2040.0,4.526048646113538,13.637474232849776
1626.0,1350.0,4.550818890998186,-6.007369261697932
1626.0,1419.0,4.687152202815039,-3.528420248884992
1626.0,1488.0,4.8547471641894075,-0.8273914145989033
1626.0,1557.0,5.1010143287905,1.9907750539486737
1626.0,1626.0,5.265669141036203,4.710029563750964
1626.0,1695.0,5.495142884849209,7.172456588473485
1626.0,1764.0,5.612732243283851,9.185685329638059
1626.0,1833.0,5.66222017594292,10.904810292947412
1626.0,1902.0,5.848723157634632,12.139869396430095
1626.0,1971.0,5.900820170966588,13.130988283662143
1626.0,2040.0,5.962703480295131,13.831562679563074
1658.0,1350.0,5.559263725882992,-5.80475838667468
1658.0,1419.0,5.712302982450127,-3.3754178829964405
1658.0,1488.0,5.9861194117355945,-0.6599727517473662
1658.0,1557.0,6.252468887288234,2.1691904915517886
1658.0,1626.0,6.334668062795962,4.743555712189093
1658.0,1695.0,6.596033178248597,7.202095789033417
1658.0,1764.0,6.717734270142516,9.335465152461312
1658.0,1833.0,6.776993024254955,10.873012764482425
1658.0,1902.0,6.949109048668419,12.235493162778061
1658.0,1971.0,7.000541100347337,13.187728589858416
1658.0,2040.0,7.028125872656373,13.819339932592563
1690.0,1350.0,6.435673225527781,-5.805046631516623
1690.0,1419.0,6.5665462128956,-3.294769988886402
1690.0,1488.0,6.839849426106443,-0.588509565255701
1690.0,1557.0,7.0196970476505705,2.168737562927873
1690.0,1626.0,7.2282688432750675,4.856165274380611
1690.0,1695.0,7.464145907846442,7.287657937136759
1690.0,1764.0,7.629862714868432,9.38814975682506
1690.0,1833.0,7.824692592026199,10.971491840731428
1690.0,1902.0,7.877932503215797,12.297700057215888
1690.0,1971.0,7.915534707365428,13.194090631300758
